row_id,order_id,created_at,item_id,quantity,cust_id,delivery,add_id
1,101,1/13/24 12:15,it018,1,1,1,1
2,101,1/13/24 12:15,it021,2,1,1,1
3,102,1/13/24 13:00,it027,4,2,1,2
4,102,1/13/24 13:00,it028,1,2,1,2
5,103,1/13/24 18:30,it002,1,3,1,3
6,103,1/13/24 18:30,it020,1,3,1,3
7,104,1/13/24 19:15,it006,1,4,0,4
8,104,1/13/24 19:15,it019,2,4,0,4
9,105,1/13/24 20:00,it007,1,5,1,5
10,105,1/13/24 20:00,it022,3,5,1,5
11,106,1/13/24 21:45,it012,1,6,1,6
12,106,1/13/24 21:45,it024,2,6,1,6
13,107,1/13/24 22:30,it014,1,7,0,7
14,107,1/13/24 22:30,it023,1,7,0,7
15,108,1/14/24 17:00,it008,1,8,1,8
16,108,1/14/24 17:00,it020,1,8,1,8
17,108,1/14/24 17:00,it019,1,8,1,8
18,109,1/14/24 18:30,it015,1,9,1,9
19,109,1/14/24 18:30,it024,2,9,1,9
20,110,1/14/24 19:45,it003,1,10,1,10
21,110,1/14/24 19:45,it016,1,10,1,10
22,110,1/14/24 19:45,it022,1,10,1,10
23,110,1/14/24 19:45,it029,1,10,1,10
24,111,1/14/24 20:30,it011,1,11,0,11
25,111,1/14/24 20:30,it021,2,11,0,11
26,111,1/14/24 20:30,it027,1,11,0,11
27,112,1/14/24 21:15,it004,1,12,0,12
28,112,1/14/24 21:15,it020,2,12,0,12
29,112,1/14/24 21:15,it023,1,12,0,12
30,113,1/14/24 22:00,it018,1,13,1,13
31,113,1/14/24 22:00,it025,2,13,1,13
32,113,1/14/24 22:00,it028,1,13,1,13
33,113,1/14/24 22:00,it030,1,13,1,13
34,114,1/15/24 12:15,it002,1,14,0,14
35,114,1/15/24 12:15,it019,1,14,0,14
36,114,1/15/24 12:15,it024,1,14,0,14
37,115,1/15/24 12:45,it009,1,15,0,15
38,115,1/15/24 12:45,it020,2,15,0,15
39,115,1/15/24 12:45,it021,1,15,0,15
40,116,1/15/24 17:30,it014,1,16,1,16
41,116,1/15/24 17:30,it022,2,16,1,16
42,116,1/15/24 17:30,it025,1,16,1,16
43,117,1/15/24 18:15,it010,1,17,1,17
44,117,1/15/24 18:15,it027,1,17,1,17
45,117,1/15/24 18:15,it028,1,17,1,17
46,118,1/15/24 19:00,it018,1,18,1,18
47,118,1/15/24 19:00,it029,1,18,1,18
48,118,1/15/24 19:00,it023,1,18,1,18
49,119,1/15/24 19:45,it005,1,19,1,19
50,119,1/15/24 19:45,it030,2,19,1,19
51,120,1/15/24 19:45,it020,3,20,0,20
52,121,1/16/24 12:15,it009,1,21,0,21
53,121,1/16/24 12:15,it020,2,21,0,21
54,121,1/16/24 12:15,it019,1,21,0,21
55,122,1/16/24 18:30,it006,1,22,0,22
56,122,1/16/24 18:30,it025,3,22,0,22
57,122,1/16/24 18:30,it021,1,22,0,22
58,123,1/16/24 19:45,it012,1,23,0,23
59,123,1/16/24 19:45,it023,2,23,0,23
60,123,1/16/24 19:45,it028,1,23,0,23
61,124,1/16/24 20:30,it005,1,24,1,24
62,124,1/16/24 20:30,it010,2,24,1,24
63,124,1/16/24 20:30,it024,2,24,1,24
64,125,1/16/24 21:15,it018,1,25,1,25
65,125,1/16/24 21:15,it029,1,25,1,25
66,125,1/16/24 21:15,it022,1,25,1,25
67,126,1/16/24 22:00,it004,1,26,1,26
68,126,1/16/24 22:00,it030,2,26,1,26
69,126,1/16/24 22:00,it020,3,26,1,26
70,127,1/17/24 12:15,it007,1,27,0,27
71,127,1/17/24 12:15,it020,2,27,0,27
72,127,1/17/24 12:15,it019,1,27,1,27
73,128,1/17/24 18:30,it016,1,28,1,28
74,128,1/17/24 18:30,it025,3,28,1,28
75,128,1/17/24 18:30,it021,1,28,1,28
76,129,1/17/24 19:45,it011,1,29,1,29
77,129,1/17/24 19:45,it023,2,29,1,29
78,129,1/17/24 19:45,it028,1,29,1,29
79,130,1/17/24 20:30,it014,1,30,0,30
80,130,1/17/24 20:30,it010,2,30,0,30
81,130,1/17/24 20:30,it024,2,30,0,30
82,131,1/17/24 21:15,it018,1,31,1,31
83,131,1/17/24 21:15,it029,1,31,1,31
84,131,1/17/24 21:15,it022,1,31,1,31
85,132,1/17/24 22:00,it005,1,32,0,32
86,132,1/17/24 22:00,it030,2,32,0,32
87,132,1/17/24 22:00,it020,3,32,0,32
88,133,1/18/24 12:15,it008,1,33,0,33
89,133,1/18/24 12:15,it020,2,33,0,33
90,133,1/18/24 12:15,it019,1,33,0,33
91,134,1/18/24 18:30,it016,1,34,1,34
92,134,1/18/24 18:30,it025,3,34,1,34
93,134,1/18/24 18:30,it021,1,34,1,34
94,135,1/18/24 19:45,it012,1,35,1,35
95,135,1/18/24 19:45,it023,2,35,1,35
96,135,1/18/24 19:45,it028,1,35,1,35
97,136,1/18/24 20:30,it014,1,36,1,36
98,136,1/18/24 20:30,it010,2,36,1,36
99,136,1/18/24 20:30,it024,2,36,1,36
100,137,1/18/24 21:15,it018,1,37,1,37
101,137,1/18/24 21:15,it029,1,37,1,37
102,137,1/18/24 21:15,it022,1,37,1,37
103,138,1/18/24 22:00,it005,1,38,1,38
104,138,1/18/24 22:00,it030,2,38,1,38
105,138,1/18/24 22:00,it020,3,38,1,38
106,139,1/18/24 22:30,it006,1,39,1,19
107,139,1/18/24 22:30,it030,1,39,1,19
108,139,1/18/24 22:30,it021,2,39,1,19
109,140,1/18/24 22:45,it013,1,40,1,39
110,140,1/18/24 22:45,it029,2,40,1,39
111,140,1/18/24 22:45,it026,1,40,1,39
112,141,1/19/24 12:15,it008,1,41,0,40
113,141,1/19/24 12:15,it020,2,41,0,40
114,141,1/19/24 12:15,it019,1,41,0,40
115,142,1/19/24 14:30,it013,1,42,0,41
116,142,1/19/24 14:30,it029,2,42,0,41
117,142,1/19/24 14:30,it026,1,42,0,41
118,143,1/19/24 18:30,it016,1,43,1,42
119,143,1/19/24 18:30,it025,3,43,1,42
120,143,1/19/24 18:30,it021,1,43,1,42
121,144,1/19/24 19:45,it012,1,44,1,43
122,144,1/19/24 19:45,it023,2,44,1,43
123,144,1/19/24 19:45,it028,1,44,1,43
124,145,1/19/24 20:30,it014,1,45,1,44
125,145,1/19/24 20:30,it010,2,45,1,44
126,145,1/19/24 20:30,it024,2,45,1,44
127,146,1/19/24 21:15,it018,1,46,0,45
128,146,1/19/24 21:15,it029,1,46,0,45
129,146,1/19/24 21:15,it022,1,46,0,45
130,147,1/19/24 22:00,it005,1,47,1,46
131,147,1/19/24 22:00,it030,2,47,1,46
132,147,1/19/24 22:00,it020,3,47,1,46
133,148,1/19/24 23:00,it006,1,48,1,47
134,148,1/19/24 23:00,it030,1,48,1,47
135,148,1/19/24 23:00,it021,2,48,1,47
136,149,1/20/24 12:15,it007,1,5,1,5
137,149,1/20/24 12:15,it020,2,5,1,5
138,149,1/20/24 12:15,it019,1,5,1,5
139,150,1/20/24 13:30,it013,1,49,1,48
140,150,1/20/24 13:30,it029,2,49,1,48
141,150,1/20/24 13:30,it026,1,49,1,48
142,66,1/20/24 18:30,it016,1,50,0,49
143,151,1/20/24 18:30,it025,3,50,0,49
144,151,1/20/24 18:30,it021,1,50,0,49
145,152,1/20/24 19:45,it012,1,51,1,35
146,152,1/20/24 19:45,it023,2,51,1,35
147,152,1/20/24 19:45,it028,1,51,1,35
148,153,1/20/24 20:30,it014,1,52,0,50
149,153,1/20/24 20:30,it010,2,52,0,50
150,153,1/20/24 20:30,it024,2,52,0,50
151,154,1/20/24 21:15,it018,1,53,1,51
152,154,1/20/24 21:15,it029,1,53,1,51
153,154,1/20/24 21:15,it022,1,53,1,51
